screenshot_id,captured_at_local,source_order,team_a,team_b,market_type,selection,selection_side,line,price,price_format,source,notes
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T13:00:00+08:00,21,Portugal,DR Congo,asian_handicap,Portugal -1.5,team_a,-1.5,0.88,hong_kong,user_screenshot,match 21 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T13:00:00+08:00,21,Portugal,DR Congo,asian_handicap,DR Congo +1.5,team_b,1.5,1.01,hong_kong,user_screenshot,match 21 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T13:00:00+08:00,21,Portugal,DR Congo,total,Over 2.5/3,over,2.75,1.07,hong_kong,user_screenshot,match 21 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T13:00:00+08:00,21,Portugal,DR Congo,total,Under 2.5/3,under,2.75,0.81,hong_kong,user_screenshot,match 21 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T16:00:00+08:00,22,England,Croatia,asian_handicap,England -0.5/1,team_a,-0.75,0.94,hong_kong,user_screenshot,match 22 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T16:00:00+08:00,22,England,Croatia,asian_handicap,Croatia +0.5/1,team_b,0.75,0.95,hong_kong,user_screenshot,match 22 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T16:00:00+08:00,22,England,Croatia,total,Over 2/2.5,over,2.25,0.86,hong_kong,user_screenshot,match 22 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T16:00:00+08:00,22,England,Croatia,total,Under 2/2.5,under,2.25,1.02,hong_kong,user_screenshot,match 22 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T19:00:00+08:00,23,Ghana,Panama,asian_handicap,Ghana -0/0.5,team_a,-0.25,1.04,hong_kong,user_screenshot,match 23 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T19:00:00+08:00,23,Ghana,Panama,asian_handicap,Panama +0/0.5,team_b,0.25,0.85,hong_kong,user_screenshot,match 23 screenshot market
e9cd39fa0494b9ece534d3d899d3ec9d,2026-06-19T19:00:00+08:00,23,Ghana,Panama,total,Over 2/2.5,over,2.25,1.07,hong_kong,user_screenshot,match 23 screenshot market
