source_order,match_id,city,stadium,altitude_m,temperature_c,humidity_pct,rest_days_team_a,rest_days_team_b,travel_distance_team_a_km,travel_distance_team_b_km,home_advantage_team,context_notes,source,source_checked_at
1,1,Mexico City,,,,,,,,,Mexico,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
2,2,Guadalajara (Zapopan),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
3,3,,,,,,,,,,Canada,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
4,4,Los Angeles (Inglewood),,,,,,,,,United States,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
5,5,San Francisco Bay Area (Santa Clara),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
6,6,New York/New Jersey (East Rutherford),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
7,7,Boston (Foxborough),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
8,8,Vancouver,,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
9,9,Houston,,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
10,10,Dallas (Arlington),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
11,11,Philadelphia,,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
12,12,Monterrey (Guadalupe),,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
13,13,Atlanta,,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
14,14,Seattle,,,,,,,,,,City/stadium from openfootball worldcup.json when matched; weather/travel reserved for later.,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2026/worldcup.json,2026-06-13T15:39:38+00:00
