source_order,team_a,team_b,goals_a,goals_b,score,probability
1,Mexico,South Africa,0,0,0-0,0.07433859
1,Mexico,South Africa,0,1,0-1,0.07642450
1,Mexico,South Africa,0,2,0-2,0.04086722
1,Mexico,South Africa,0,3,0-3,0.01515527
1,Mexico,South Africa,0,4,0-4,0.00438467
1,Mexico,South Africa,0,5,0-5,0.00105568
1,Mexico,South Africa,0,6,0-6,0.00022036
1,Mexico,South Africa,0,7,0-7,0.00004103
1,Mexico,South Africa,0,8,0-8,0.00000696
1,Mexico,South Africa,1,0,1-0,0.11114220
1,Mexico,South Africa,1,1,1-1,0.11528268
1,Mexico,South Africa,1,2,1-2,0.06217810
1,Mexico,South Africa,1,3,1-3,0.02324713
1,Mexico,South Africa,1,4,1-4,0.00677690
1,Mexico,South Africa,1,5,1-5,0.00164275
1,Mexico,South Africa,1,6,1-6,0.00034487
1,Mexico,South Africa,1,7,1-7,0.00006449
1,Mexico,South Africa,1,8,1-8,0.00001097
1,Mexico,South Africa,2,0,2-0,0.08584606
1,Mexico,South Africa,2,1,2-1,0.08983293
1,Mexico,South Africa,2,2,2-2,0.04886656
1,Mexico,South Africa,2,3,2-3,0.01841902
1,Mexico,South Africa,2,4,2-4,0.00541002
1,Mexico,South Africa,2,5,2-5,0.00132027
1,Mexico,South Africa,2,6,2-6,0.00027874
1,Mexico,South Africa,2,7,2-7,0.00005235
1,Mexico,South Africa,2,8,2-8,0.00000892
1,Mexico,South Africa,3,0,3-0,0.04566174
1,Mexico,South Africa,3,1,3-1,0.04820383
1,Mexico,South Africa,3,2,3-2,0.02644557
1,Mexico,South Africa,3,3,3-3,0.01004913
1,Mexico,South Africa,3,4,3-4,0.00297393
1,Mexico,South Africa,3,5,3-5,0.00073066
1,Mexico,South Africa,3,6,3-6,0.00015514
1,Mexico,South Africa,3,7,3-7,0.00002926
1,Mexico,South Africa,3,8,3-8,0.00000500
1,Mexico,South Africa,4,0,4-0,0.01881159
1,Mexico,South Africa,4,1,4-1,0.02003394
1,Mexico,South Africa,4,2,4-2,0.01108506
1,Mexico,South Africa,4,3,4-3,0.00424661
1,Mexico,South Africa,4,4,4-4,0.00126626
1,Mexico,South Africa,4,5,4-5,0.00031321
1,Mexico,South Africa,4,6,4-6,0.00006688
1,Mexico,South Africa,4,7,4-7,0.00001267
1,Mexico,South Africa,4,8,4-8,0.00000217
1,Mexico,South Africa,5,0,5-0,0.00640130
1,Mexico,South Africa,5,1,5-1,0.00687747
1,Mexico,South Africa,5,2,5-2,0.00383808
1,Mexico,South Africa,5,3,5-3,0.00148238
1,Mexico,South Africa,5,4,5-4,0.00044538
1,Mexico,South Africa,5,5,5-5,0.00011091
1,Mexico,South Africa,5,6,5-6,0.00002382
1,Mexico,South Africa,5,7,5-7,0.00000453
1,Mexico,South Africa,5,8,5-8,0.00000078
1,Mexico,South Africa,6,0,6-0,0.00187372
1,Mexico,South Africa,6,1,6-1,0.00203096
1,Mexico,South Africa,6,2,6-2,0.00114320
1,Mexico,South Africa,6,3,6-3,0.00044517
1,Mexico,South Africa,6,4,6-4,0.00013477
1,Mexico,South Africa,6,5,6-5,0.00003379
1,Mexico,South Africa,6,6,6-6,0.00000730
1,Mexico,South Africa,6,7,6-7,0.00000139
1,Mexico,South Africa,6,8,6-8,0.00000024
1,Mexico,South Africa,7,0,7-0,0.00048514
1,Mexico,South Africa,7,1,7-1,0.00053055
1,Mexico,South Africa,7,2,7-2,0.00030124
1,Mexico,South Africa,7,3,7-3,0.00011827
1,Mexico,South Africa,7,4,7-4,0.00003608
1,Mexico,South Africa,7,5,7-5,0.00000911
1,Mexico,South Africa,7,6,7-6,0.00000198
1,Mexico,South Africa,7,7,7-7,0.00000038
1,Mexico,South Africa,7,8,7-8,0.00000007
1,Mexico,South Africa,8,0,8-0,0.00011340
1,Mexico,South Africa,8,1,8-1,0.00012513
1,Mexico,South Africa,8,2,8-2,0.00007167
1,Mexico,South Africa,8,3,8-3,0.00002838
1,Mexico,South Africa,8,4,8-4,0.00000872
1,Mexico,South Africa,8,5,8-5,0.00000222
1,Mexico,South Africa,8,6,8-6,0.00000048
1,Mexico,South Africa,8,7,8-7,0.00000009
1,Mexico,South Africa,8,8,8-8,0.00000002
2,South Korea,Czechia,0,0,0-0,0.05514923
2,South Korea,Czechia,0,1,0-1,0.07824611
2,South Korea,Czechia,0,2,0-2,0.05728354
2,South Korea,Czechia,0,3,0-3,0.02884897
2,South Korea,Czechia,0,4,0-4,0.01124197
2,South Korea,Czechia,0,5,0-5,0.00361503
2,South Korea,Czechia,0,6,0-6,0.00099904
2,South Korea,Czechia,0,7,0-7,0.00024401
2,South Korea,Czechia,0,8,0-8,0.00005375
2,South Korea,Czechia,1,0,1-0,0.07683067
2,South Korea,Czechia,1,1,1-1,0.10993701
2,South Korea,Czechia,1,2,1-2,0.08115811
2,South Korea,Czechia,1,3,1-3,0.04120867
2,South Korea,Czechia,1,4,1-4,0.01618824
2,South Korea,Czechia,1,5,1-5,0.00524713
2,South Korea,Czechia,1,6,1-6,0.00146153
2,South Korea,Czechia,1,7,1-7,0.00035975
2,South Korea,Czechia,1,8,1-8,0.00007986
2,South Korea,Czechia,2,0,2-0,0.05530039
2,South Korea,Czechia,2,1,2-1,0.07979586
2,South Korea,Czechia,2,2,2-2,0.05939202
2,South Korea,Czechia,2,3,2-3,0.03039952
2,South Korea,Czechia,2,4,2-4,0.01203630
2,South Korea,Czechia,2,5,2-5,0.00393164
2,South Korea,Czechia,2,6,2-6,0.00110349
2,South Korea,Czechia,2,7,2-7,0.00027367
2,South Korea,Czechia,2,8,2-8,0.00006120
2,South Korea,Czechia,3,0,3-0,0.02741789
2,South Korea,Czechia,3,1,3-1,0.03989045
2,South Korea,Czechia,3,2,3-2,0.02992971
2,South Korea,Czechia,3,3,3-3,0.01543984
2,South Korea,Czechia,3,4,3-4,0.00616029
2,South Korea,Czechia,3,5,3-5,0.00202748
2,South Korea,Czechia,3,6,3-6,0.00057329
2,South Korea,Czechia,3,7,3-7,0.00014322
2,South Korea,Czechia,3,8,3-8,0.00003226
2,South Korea,Czechia,4,0,4-0,0.01053349
2,South Korea,Czechia,4,1,4-1,0.01544929
2,South Korea,Czechia,4,2,4-2,0.01168262
2,South Korea,Czechia,4,3,4-3,0.00607290
2,South Korea,Czechia,4,4,4-4,0.00244123
2,South Korea,Czechia,4,5,4-5,0.00080942
2,South Korea,Czechia,4,6,4-6,0.00023054
2,South Korea,Czechia,4,7,4-7,0.00005801
2,South Korea,Czechia,4,8,4-8,0.00001316
2,South Korea,Czechia,5,0,5-0,0.00334443
2,South Korea,Czechia,5,1,5-1,0.00494372
2,South Korea,Czechia,5,2,5-2,0.00376688
2,South Korea,Czechia,5,3,5-3,0.00197272
2,South Korea,Czechia,5,4,5-4,0.00079885
2,South Korea,Czechia,5,5,5-5,0.00026681
2,South Korea,Czechia,5,6,5-6,0.00007655
2,South Korea,Czechia,5,7,5-7,0.00001940
2,South Korea,Czechia,5,8,5-8,0.00000443
2,South Korea,Czechia,6,0,6-0,0.00091396
2,South Korea,Czechia,6,1,6-1,0.00136121
2,South Korea,Czechia,6,2,6-2,0.00104481
2,South Korea,Czechia,6,3,6-3,0.00055115
2,South Korea,Czechia,6,4,6-4,0.00022481
2,South Korea,Czechia,6,5,6-5,0.00007563
2,South Korea,Czechia,6,6,6-6,0.00002186
2,South Korea,Czechia,6,7,6-7,0.00000558
2,South Korea,Czechia,6,8,6-8,0.00000128
2,South Korea,Czechia,7,0,7-0,0.00022104
2,South Korea,Czechia,7,1,7-1,0.00033159
2,South Korea,Czechia,7,2,7-2,0.00025632
