source_order,group,date_china,time_china,team_a,team_b,team_a_expected_goals,team_b_expected_goals,total_expected_goals,team_a_win_probability,draw_probability,team_b_win_probability,over_2_5_probability,under_2_5_probability,most_likely_score,most_likely_score_probability,captured_probability_mass,team_a_rating_std_log_xg,team_b_rating_std_log_xg,simulation_draws,simulation_seed
1,A,2026-06-12,03:00,Mexico,South Africa,1.581,1.084,2.664,0.487848,0.249922,0.262230,0.496099,0.503901,1-1,0.115283,0.999899,0.1601,0.1758,2500,20260620
2,A,2026-06-12,10:00,South Korea,Czechia,1.469,1.489,2.957,0.373154,0.242649,0.384197,0.567253,0.432747,1-1,0.109937,0.999882,0.1617,0.1528,2500,20260620
3,B,2026-06-13,03:00,Canada,Bosnia and Herzegovina,1.445,0.744,2.189,0.536971,0.270151,0.192878,0.373682,0.626318,1-0,0.162190,0.999951,0.1588,0.1772,2500,20260620
4,D,2026-06-13,09:00,United States,Paraguay,1.622,1.468,3.090,0.414393,0.237135,0.348473,0.589010,0.410990,1-1,0.105888,0.999830,0.1532,0.1673,2500,20260620
5,B,2026-06-14,03:00,Qatar,Switzerland,1.053,2.075,3.129,0.187174,0.206096,0.606731,0.597560,0.402440,0-2,0.094378,0.999432,0.2079,0.1459,2500,20260620
6,C,2026-06-14,06:00,Brazil,Morocco,1.312,1.447,2.759,0.342606,0.253367,0.404027,0.518233,0.481767,1-1,0.116970,0.999932,0.1436,0.1492,2500,20260620
7,C,2026-06-14,09:00,Haiti,Scotland,1.801,1.267,3.068,0.496657,0.229955,0.273388,0.583862,0.416138,1-1,0.103506,0.999718,0.1727,0.1797,2500,20260620
8,D,2026-06-14,12:00,Australia,Turkiye,1.286,1.586,2.872,0.311059,0.245036,0.443904,0.544196,0.455804,1-1,0.112215,0.999888,0.1616,0.1473,2500,20260620
9,E,2026-06-15,01:00,Germany,Curacao,2.101,0.994,3.094,0.625236,0.202349,0.172415,0.592927,0.407073,2-0,0.099376,0.999420,0.1241,0.1852,2500,20260620
10,F,2026-06-15,04:00,Netherlands,Japan,1.475,1.489,2.964,0.373946,0.243883,0.382171,0.563985,0.436015,1-1,0.110799,0.999893,0.1328,0.1491,2500,20260620
11,E,2026-06-15,07:00,Ivory Coast,Ecuador,1.190,1.205,2.395,0.358992,0.275980,0.365029,0.430686,0.569314,1-1,0.126004,0.999974,0.1610,0.1616,2500,20260620
12,F,2026-06-15,10:00,Sweden,Tunisia,1.614,1.473,3.087,0.409315,0.236923,0.353762,0.590562,0.409438,1-1,0.105773,0.999835,0.1555,0.1668,2500,20260620
13,H,2026-06-16,00:00,Spain,Cape Verde,2.168,0.771,2.938,0.690750,0.186769,0.122481,0.561047,0.438953,2-0,0.122829,0.999310,0.1102,0.2158,2500,20260620
14,G,2026-06-16,03:00,Belgium,Egypt,1.706,1.181,2.886,0.496515,0.237670,0.265815,0.550854,0.449146,1-1,0.108946,0.999834,0.1375,0.1609,2500,20260620
15,H,2026-06-16,06:00,Saudi Arabia,Uruguay,1.174,1.411,2.585,0.315851,0.261423,0.422726,0.476821,0.523179,1-1,0.120364,0.999942,0.1763,0.1666,2500,20260620
16,G,2026-06-16,09:00,Iran,New Zealand,1.633,1.336,2.969,0.440912,0.240555,0.318533,0.563146,0.436854,1-1,0.109193,0.999857,0.1636,0.1707,2500,20260620
17,I,2026-06-17,03:00,France,Senegal,1.577,1.456,3.033,0.405674,0.240719,0.353607,0.577998,0.422002,1-1,0.108651,0.999882,0.1238,0.1400,2500,20260620
18,I,2026-06-17,06:00,Iraq,Norway,0.903,2.042,2.945,0.159659,0.204765,0.635577,0.561399,0.438601,0-1,0.109119,0.999473,0.1784,0.1374,2500,20260620
19,J,2026-06-17,09:00,Argentina,Algeria,1.614,1.144,2.759,0.480440,0.246415,0.273145,0.519432,0.480568,1-1,0.114167,0.999900,0.1310,0.1543,2500,20260620
20,J,2026-06-17,12:00,Austria,Jordan,1.912,1.089,3.001,0.563942,0.220527,0.215531,0.573996,0.426004,1-1,0.100503,0.999647,0.1444,0.1795,2500,20260620
21,K,2026-06-18,01:00,Portugal,DR Congo,1.685,1.130,2.816,0.501761,0.241145,0.257094,0.529136,0.470864,1-1,0.111250,0.999859,0.1373,0.1617,2500,20260620
