source_order,team_a,team_b,goals_a,goals_b,score,probability
1,Mexico,South Africa,0,0,0-0,0.06727275
1,Mexico,South Africa,0,1,0-1,0.07648912
1,Mexico,South Africa,0,2,0-2,0.04348406
1,Mexico,South Africa,0,3,0-3,0.01648046
1,Mexico,South Africa,0,4,0-4,0.00468457
1,Mexico,South Africa,0,5,0-5,0.00106527
1,Mexico,South Africa,0,6,0-6,0.00020187
1,Mexico,South Africa,0,7,0-7,0.00003279
1,Mexico,South Africa,0,8,0-8,0.00000466
1,Mexico,South Africa,1,0,1-0,0.10508004
1,Mexico,South Africa,1,1,1-1,0.11947600
1,Mexico,South Africa,1,2,1-2,0.06792211
1,Mexico,South Africa,1,3,1-3,0.02574248
1,Mexico,South Africa,1,4,1-4,0.00731730
1,Mexico,South Africa,1,5,1-5,0.00166395
1,Mexico,South Africa,1,6,1-6,0.00031532
1,Mexico,South Africa,1,7,1-7,0.00005122
1,Mexico,South Africa,1,8,1-8,0.00000728
1,Mexico,South Africa,2,0,2-0,0.08206751
1,Mexico,South Africa,2,1,2-1,0.09331076
1,Mexico,South Africa,2,2,2-2,0.05304717
1,Mexico,South Africa,2,3,2-3,0.02010488
1,Mexico,South Africa,2,4,2-4,0.00571481
1,Mexico,South Africa,2,5,2-5,0.00129955
1,Mexico,South Africa,2,6,2-6,0.00024626
1,Mexico,South Africa,2,7,2-7,0.00004000
1,Mexico,South Africa,2,8,2-8,0.00000569
1,Mexico,South Africa,3,0,3-0,0.04272982
1,Mexico,South Africa,3,1,3-1,0.04858380
1,Mexico,South Africa,3,2,3-2,0.02761989
1,Mexico,South Africa,3,3,3-3,0.01046794
1,Mexico,South Africa,3,4,3-4,0.00297551
1,Mexico,South Africa,3,5,3-5,0.00067663
1,Mexico,South Africa,3,6,3-6,0.00012822
1,Mexico,South Africa,3,7,3-7,0.00002083
1,Mexico,South Africa,3,8,3-8,0.00000296
1,Mexico,South Africa,4,0,4-0,0.01668599
1,Mexico,South Africa,4,1,4-1,0.01897197
1,Mexico,South Africa,4,2,4-2,0.01078557
1,Mexico,South Africa,4,3,4-3,0.00408773
1,Mexico,South Africa,4,4,4-4,0.00116194
1,Mexico,South Africa,4,5,4-5,0.00026422
1,Mexico,South Africa,4,6,4-6,0.00005007
1,Mexico,South Africa,4,7,4-7,0.00000813
1,Mexico,South Africa,4,8,4-8,0.00000116
1,Mexico,South Africa,5,0,5-0,0.00521270
1,Mexico,South Africa,5,1,5-1,0.00592684
1,Mexico,South Africa,5,2,5-2,0.00336941
1,Mexico,South Africa,5,3,5-3,0.00127701
1,Mexico,South Africa,5,4,5-4,0.00036299
1,Mexico,South Africa,5,5,5-5,0.00008254
1,Mexico,South Africa,5,6,5-6,0.00001564
1,Mexico,South Africa,5,7,5-7,0.00000254
1,Mexico,South Africa,5,8,5-8,0.00000036
1,Mexico,South Africa,6,0,6-0,0.00135704
1,Mexico,South Africa,6,1,6-1,0.00154296
1,Mexico,South Africa,6,2,6-2,0.00087717
1,Mexico,South Africa,6,3,6-3,0.00033245
1,Mexico,South Africa,6,4,6-4,0.00009450
1,Mexico,South Africa,6,5,6-5,0.00002149
1,Mexico,South Africa,6,6,6-6,0.00000407
1,Mexico,South Africa,6,7,6-7,0.00000066
1,Mexico,South Africa,6,8,6-8,0.00000009
1,Mexico,South Africa,7,0,7-0,0.00030281
1,Mexico,South Africa,7,1,7-1,0.00034430
1,Mexico,South Africa,7,2,7-2,0.00019573
1,Mexico,South Africa,7,3,7-3,0.00007418
1,Mexico,South Africa,7,4,7-4,0.00002109
1,Mexico,South Africa,7,5,7-5,0.00000480
1,Mexico,South Africa,7,6,7-6,0.00000091
1,Mexico,South Africa,7,7,7-7,0.00000015
1,Mexico,South Africa,7,8,7-8,0.00000002
1,Mexico,South Africa,8,0,8-0,0.00005912
1,Mexico,South Africa,8,1,8-1,0.00006722
1,Mexico,South Africa,8,2,8-2,0.00003822
1,Mexico,South Africa,8,3,8-3,0.00001448
1,Mexico,South Africa,8,4,8-4,0.00000412
1,Mexico,South Africa,8,5,8-5,0.00000094
1,Mexico,South Africa,8,6,8-6,0.00000018
1,Mexico,South Africa,8,7,8-7,0.00000003
1,Mexico,South Africa,8,8,8-8,0.00000000
2,South Korea,Czechia,0,0,0-0,0.05213077
2,South Korea,Czechia,0,1,0-1,0.07835254
2,South Korea,Czechia,0,2,0-2,0.05888193
2,South Korea,Czechia,0,3,0-3,0.02949985
2,South Korea,Czechia,0,4,0-4,0.01108457
2,South Korea,Czechia,0,5,0-5,0.00333202
2,South Korea,Czechia,0,6,0-6,0.00083467
2,South Korea,Czechia,0,7,0-7,0.00017922
2,South Korea,Czechia,0,8,0-8,0.00003367
2,South Korea,Czechia,1,0,1-0,0.07564174
2,South Korea,Czechia,1,1,1-1,0.11368954
2,South Korea,Czechia,1,2,1-2,0.08543769
2,South Korea,Czechia,1,3,1-3,0.04280428
2,South Korea,Czechia,1,4,1-4,0.01608371
2,South Korea,Czechia,1,5,1-5,0.00483476
2,South Korea,Czechia,1,6,1-6,0.00121111
2,South Korea,Czechia,1,7,1-7,0.00026004
2,South Korea,Czechia,1,8,1-8,0.00004886
2,South Korea,Czechia,2,0,2-0,0.05487808
2,South Korea,Czechia,2,1,2-1,0.08248176
2,South Korea,Czechia,2,2,2-2,0.06198504
2,South Korea,Czechia,2,3,2-3,0.03105451
2,South Korea,Czechia,2,4,2-4,0.01166873
2,South Korea,Czechia,2,5,2-5,0.00350762
2,South Korea,Czechia,2,6,2-6,0.00087866
2,South Korea,Czechia,2,7,2-7,0.00018866
2,South Korea,Czechia,2,8,2-8,0.00003544
2,South Korea,Czechia,3,0,3-0,0.02654270
2,South Korea,Czechia,3,1,3-1,0.03989368
2,South Korea,Czechia,3,2,3-2,0.02998010
2,South Korea,Czechia,3,3,3-3,0.01502003
2,South Korea,Czechia,3,4,3-4,0.00564378
2,South Korea,Czechia,3,5,3-5,0.00169652
2,South Korea,Czechia,3,6,3-6,0.00042498
2,South Korea,Czechia,3,7,3-7,0.00009125
2,South Korea,Czechia,3,8,3-8,0.00001714
2,South Korea,Czechia,4,0,4-0,0.00962836
2,South Korea,Czechia,4,1,4-1,0.01447143
2,South Korea,Czechia,4,2,4-2,0.01087528
2,South Korea,Czechia,4,3,4-3,0.00544852
2,South Korea,Czechia,4,4,4-4,0.00204728
2,South Korea,Czechia,4,5,4-5,0.00061541
2,South Korea,Czechia,4,6,4-6,0.00015416
