source_order,group,date_china,time_china,team_a,team_b,team_a_expected_goals,team_b_expected_goals,total_expected_goals,team_a_win_probability,draw_probability,team_b_win_probability,over_2_5_probability,under_2_5_probability,most_likely_score,most_likely_score_probability,captured_probability_mass
1,A,2026-06-12,03:00,Mexico,South Africa,1.562,1.137,2.698,0.471445,0.251523,0.277032,0.506110,0.493890,1-1,0.119481,0.999959
2,A,2026-06-12,10:00,South Korea,Czechia,1.451,1.503,2.955,0.365952,0.245075,0.388973,0.566404,0.433596,1-1,0.113695,0.999950
3,B,2026-06-13,03:00,Canada,Bosnia and Herzegovina,1.463,0.711,2.173,0.551955,0.266579,0.181466,0.370292,0.629708,1-0,0.166379,0.999977
4,D,2026-06-13,09:00,United States,Paraguay,1.499,1.524,3.022,0.373553,0.241939,0.384508,0.581918,0.418082,1-1,0.111158,0.999941
5,B,2026-06-14,03:00,Qatar,Switzerland,1.054,2.075,3.128,0.185005,0.206481,0.608514,0.604959,0.395041,1-2,0.099329,0.999689
6,C,2026-06-14,06:00,Brazil,Morocco,1.285,1.459,2.744,0.332909,0.254669,0.412422,0.517077,0.482923,1-1,0.120578,0.999969
7,C,2026-06-14,09:00,Haiti,Scotland,1.800,1.268,3.068,0.499012,0.231049,0.269939,0.591823,0.408177,1-1,0.106176,0.999883
8,D,2026-06-14,12:00,Australia,Turkiye,1.286,1.585,2.872,0.310142,0.246111,0.443747,0.547274,0.452726,1-1,0.115460,0.999949
9,E,2026-06-15,01:00,Germany,Curacao,2.100,0.995,3.094,0.627468,0.202468,0.170064,0.597617,0.402383,2-0,0.099865,0.999662
10,F,2026-06-15,04:00,Netherlands,Japan,1.453,1.518,2.971,0.363538,0.244223,0.392239,0.570259,0.429741,1-1,0.113050,0.999948
11,E,2026-06-15,07:00,Ivory Coast,Ecuador,1.211,1.181,2.392,0.368720,0.277132,0.354147,0.428194,0.571806,1-1,0.130787,0.999990
12,F,2026-06-15,10:00,Sweden,Tunisia,1.614,1.473,3.087,0.411344,0.238471,0.350185,0.595987,0.404013,1-1,0.108510,0.999927
13,H,2026-06-16,00:00,Spain,Cape Verde,2.160,0.769,2.929,0.693215,0.186739,0.120046,0.560535,0.439465,2-0,0.124741,0.999588
14,G,2026-06-16,03:00,Belgium,Egypt,1.704,1.182,2.886,0.495914,0.239188,0.264897,0.550756,0.449244,1-1,0.112395,0.999923
