source_order,group,date_china,time_china,team_a,team_b,team_a_canonical,team_b_canonical,team_a_attack_rating,team_a_defense_rating,team_b_attack_rating,team_b_defense_rating,team_a_power_rating,team_b_power_rating,team_a_expected_goals,team_b_expected_goals,total_expected_goals,input_notes
1,A,2026-06-12,03:00,Mexico,South Africa,Mexico,South Africa,63.62,66.88,55.02,57.41,73.77,56.96,1.562,1.137,2.698,xG from blended power/phase ratings; tactical/context data can further adjust totals.
2,A,2026-06-12,10:00,South Korea,Czechia,Korea Republic,Czechia,64.04,59.95,68.46,58.41,68.96,69.36,1.451,1.503,2.955,xG from blended power/phase ratings; tactical/context data can further adjust totals.
3,B,2026-06-13,03:00,Canada,Bosnia and Herzegovina,Canada,Bosnia And Herzegovina,63.46,68.27,32.75,62.75,70.43,43.93,1.463,0.711,2.173,xG from blended power/phase ratings; tactical/context data can further adjust totals.
4,D,2026-06-13,09:00,United States,Paraguay,USA,Paraguay,63.19,48.98,58.62,60.48,66.86,69.25,1.499,1.524,3.022,xG from blended power/phase ratings; tactical/context data can further adjust totals.
5,B,2026-06-14,03:00,Qatar,Switzerland,Qatar,Switzerland,45.13,33.95,74.20,61.58,44.61,77.00,1.054,2.075,3.128,xG from blended power/phase ratings; tactical/context data can further adjust totals.
6,C,2026-06-14,06:00,Brazil,Morocco,Brazil,Morocco,74.57,68.10,74.18,78.19,82.17,79.06,1.285,1.459,2.744,xG from blended power/phase ratings; tactical/context data can further adjust totals.
7,C,2026-06-14,09:00,Haiti,Scotland,Haiti,Scotland,62.21,49.61,45.05,37.19,57.07,32.00,1.800,1.268,3.068,xG from blended power/phase ratings; tactical/context data can further adjust totals.
8,D,2026-06-14,12:00,Australia,Turkiye,Australia,Türkiye,60.70,61.38,74.46,64.24,67.83,78.72,1.286,1.585,2.872,xG from blended power/phase ratings; tactical/context data can further adjust totals.
9,E,2026-06-15,01:00,Germany,Curacao,Germany,Curaçao,88.56,74.98,55.24,46.91,88.29,50.24,2.100,0.995,3.094,xG from blended power/phase ratings; tactical/context data can further adjust totals.
10,F,2026-06-15,04:00,Netherlands,Japan,Netherlands,Japan,81.73,68.82,78.15,76.02,82.51,80.72,1.453,1.518,2.971,xG from blended power/phase ratings; tactical/context data can further adjust totals.
11,E,2026-06-15,07:00,Ivory Coast,Ecuador,Côte D'Ivoire,Ecuador,63.98,67.10,57.70,71.69,67.06,73.62,1.211,1.181,2.392,xG from blended power/phase ratings; tactical/context data can further adjust totals.
12,F,2026-06-15,10:00,Sweden,Tunisia,Sweden,Tunisia,68.42,51.70,58.54,53.76,66.71,60.42,1.614,1.473,3.087,xG from blended power/phase ratings; tactical/context data can further adjust totals.
13,H,2026-06-16,00:00,Spain,Cape Verde,Spain,Cabo Verde,93.90,81.17,48.91,48.90,97.79,52.32,2.160,0.769,2.929,xG from blended power/phase ratings; tactical/context data can further adjust totals.
14,G,2026-06-16,03:00,Belgium,Egypt,Belgium,Egypt,81.26,65.96,56.65,61.59,79.28,63.99,1.704,1.182,2.886,xG from blended power/phase ratings; tactical/context data can further adjust totals.
