team,team_code,head_coach,head_coach_raw,coach_nationality,source,source_checked_at
Algeria,ALG,Vladimir PETKOVIC,Head coach PETKOVIC Vladimir Vladimir PETKOVIĆ Switzerland,Switzerland,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Argentina,ARG,Lionel SCALONI,Head coach SCALONI Lionel Lionel Sebastián SCALONI Argentina,Argentina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Australia,AUS,Tony POPOVIC,Head coach POPOVIC Tony Tony POPOVIC Australia,Australia,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Austria,AUT,Ralf RANGNICK,Head coach RANGNICK Ralf Ralf Dietrich RANGNICK Germany,Germany,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Belgium,BEL,Rudi GARCIA,Head coach GARCIA Rudi Rudi José GARCIA France,France,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Bosnia And Herzegovina,BIH,Sergej BARBAREZ,Head coach BARBAREZ Sergej Sergej BARBAREZ Bosnia And Herzegovina,Bosnia And Herzegovina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Brazil,BRA,Carlo ANCELOTTI,Head coach ANCELOTTI Carlo Carlo ANCELOTTI Italy,Italy,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Cabo Verde,CPV,Pedro BUBISTA,Head coach BUBISTA Pedro LEITÃO BRITO Cabo Verde,Cabo Verde,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Canada,CAN,Jesse MARSCH,Head coach MARSCH Jesse Jesse Alan MARSCH USA,USA,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Colombia,COL,Nestor LORENZO,Head coach LORENZO Nestor Nestor Gabriel LORENZO Argentina,Argentina,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Congo DR,COD,Sebastien DESABRE,Head coach DESABRE Sebastien Sebastien Serge Louis DESABRE France,France,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Côte D'Ivoire,CIV,Emerse FAE,Head coach FAE Emerse Emerse FAE Côte D'Ivoire,Côte D'Ivoire,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Croatia,CRO,Zlatko DALIC,Head coach DALIC Zlatko Zlatko DALIĆ Croatia,Croatia,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Curaçao,CUW,Dick ADVOCAAT,Head coach ADVOCAAT Dick Dirk Nicolaas ADVOCAAT Netherlands,Netherlands,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
Czechia,CZE,Miroslav KOUBEK,Head coach KOUBEK Miroslav Miroslav KOUBEK Czech Republic,Czech Republic,https://fdp.fifa.org/assetspublic/ce281/pdf/SquadLists-English.pdf,2026-06-13T15:39:13+00:00
