team,team_code,recent_matches,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,avg_goals_for,avg_goals_against,points_per_match,strength_of_schedule,raw_form_score,form_rating,latest_match_date,source,source_checked_at
Spain,ESP,20,13,7,0,52,19,2.600,0.950,2.300,1718.8,71.688,100.00,2026-06-04,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Argentina,ARG,20,15,2,3,44,9,2.200,0.450,2.350,1668.5,69.575,97.05,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
France,FRA,20,13,2,5,43,23,2.150,1.150,2.050,1725.3,61.617,85.95,2026-06-04,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
England,ENG,20,15,1,4,45,10,2.250,0.500,2.300,1594.1,65.105,90.82,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Brazil,BRA,20,11,4,5,38,20,1.900,1.000,1.850,1778.7,59.235,82.63,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Portugal,POR,20,12,6,2,46,19,2.300,0.950,2.100,1588.6,58.580,81.72,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Colombia,COL,20,8,5,7,36,23,1.800,1.150,1.450,1773.2,49.712,69.35,2026-06-01,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Netherlands,NED,20,9,8,3,49,21,2.450,1.050,1.750,1690.3,58.167,81.14,2026-06-03,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Ecuador,ECU,20,7,12,1,18,8,0.900,0.400,1.650,1776.7,49.733,69.37,2026-05-30,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Germany,GER,20,14,3,3,52,20,2.600,1.000,2.250,1628.2,65.907,91.94,2026-06-06,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
