team,team_code,fifa_rank,elo_rating,recent_matches,recent_wins,recent_draws,recent_losses,recent_goals_for,recent_goals_against,avg_goals_for,avg_goals_against,strength_of_schedule,form_notes,source,source_checked_at
Spain,ESP,1,2155,20,13,7,0,52,19,2.600,0.950,1718.8,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Argentina,ARG,2,2114,20,15,2,3,44,9,2.200,0.450,1668.5,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
France,FRA,3,2062,20,13,2,5,43,23,2.150,1.150,1725.3,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
England,ENG,4,2021,20,15,1,4,45,10,2.250,0.500,1594.1,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Brazil,BRA,5,1991,20,11,4,5,38,20,1.900,1.000,1778.7,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Portugal,POR,6,1986,20,12,6,2,46,19,2.300,0.950,1588.6,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Colombia,COL,7,1977,20,8,5,7,36,23,1.800,1.150,1773.2,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Netherlands,NED,8,1944,20,9,8,3,49,21,2.450,1.050,1690.3,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Ecuador,ECU,9,1935,20,7,12,1,18,8,0.900,0.400,1776.7,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
Germany,GER,10,1932,20,14,3,3,52,20,2.600,1.000,1628.2,fifa_rank currently uses Elo rank proxy until full FIFA table is exposed/filled.,https://raw.githubusercontent.com/martj42/international_results/master/results.csv,2026-06-07T11:57:46+00:00
