team,power_rating,club_quality_rating,form_rating,elo_normalized,rating_std_log_xg,uncertainty_reason
Spain,97.79,91.15,100.00,100.00,0.1102,"partial-pooling proxy from power, club, form, and Elo coverage"
England,92.00,89.19,95.72,89.80,0.1156,"partial-pooling proxy from power, club, form, and Elo coverage"
Argentina,91.59,74.00,97.72,96.78,0.1310,"partial-pooling proxy from power, club, form, and Elo coverage"
France,90.15,82.15,90.39,92.79,0.1238,"partial-pooling proxy from power, club, form, and Elo coverage"
Germany,88.56,90.42,93.21,82.75,0.1241,"partial-pooling proxy from power, club, form, and Elo coverage"
Norway,84.74,71.73,99.03,81.37,0.1374,"partial-pooling proxy from power, club, form, and Elo coverage"
Netherlands,83.97,76.85,86.04,83.97,0.1328,"partial-pooling proxy from power, club, form, and Elo coverage"
Portugal,83.80,72.42,84.36,87.12,0.1373,"partial-pooling proxy from power, club, form, and Elo coverage"
Brazil,82.29,67.00,83.32,87.27,0.1436,"partial-pooling proxy from power, club, form, and Elo coverage"
Japan,80.97,62.27,94.96,80.75,0.1491,"partial-pooling proxy from power, club, form, and Elo coverage"
Senegal,80.48,71.69,90.63,77.22,0.1400,"partial-pooling proxy from power, club, form, and Elo coverage"
Belgium,79.55,74.77,78.46,79.83,0.1375,"partial-pooling proxy from power, club, form, and Elo coverage"
Türkiye,78.92,65.35,82.86,81.13,0.1473,"partial-pooling proxy from power, club, form, and Elo coverage"
Morocco,78.50,63.73,95.11,74.69,0.1492,"partial-pooling proxy from power, club, form, and Elo coverage"
Croatia,78.35,68.38,77.24,81.21,0.1446,"partial-pooling proxy from power, club, form, and Elo coverage"
Switzerland,77.19,76.77,67.79,79.60,0.1459,"partial-pooling proxy from power, club, form, and Elo coverage"
Colombia,76.66,55.19,74.11,86.58,0.1588,"partial-pooling proxy from power, club, form, and Elo coverage"
Austria,76.58,69.62,80.98,74.92,0.1444,"partial-pooling proxy from power, club, form, and Elo coverage"
Ecuador,74.39,53.73,72.27,83.21,0.1616,"partial-pooling proxy from power, club, form, and Elo coverage"
Mexico,74.26,55.35,78.90,78.83,0.1601,"partial-pooling proxy from power, club, form, and Elo coverage"
Algeria,74.16,61.19,88.40,70.48,0.1543,"partial-pooling proxy from power, club, form, and Elo coverage"
Korea Republic,71.47,55.42,80.53,71.55,0.1617,"partial-pooling proxy from power, club, form, and Elo coverage"
USA,70.94,64.23,70.70,71.09,0.1532,"partial-pooling proxy from power, club, form, and Elo coverage"
Canada,68.90,59.88,69.86,70.09,0.1588,"partial-pooling proxy from power, club, form, and Elo coverage"
IR Iran,68.90,55.08,73.48,70.48,0.1636,"partial-pooling proxy from power, club, form, and Elo coverage"
Czechia,68.84,66.50,71.54,65.87,0.1528,"partial-pooling proxy from power, club, form, and Elo coverage"
Uruguay,68.08,55.23,52.56,79.68,0.1666,"partial-pooling proxy from power, club, form, and Elo coverage"
Australia,67.99,57.65,66.45,70.86,0.1616,"partial-pooling proxy from power, club, form, and Elo coverage"
Paraguay,67.67,52.12,69.76,71.09,0.1673,"partial-pooling proxy from power, club, form, and Elo coverage"
Côte D'Ivoire,67.27,58.62,76.61,64.57,0.1610,"partial-pooling proxy from power, club, form, and Elo coverage"
Sweden,66.87,65.81,64.36,65.87,0.1555,"partial-pooling proxy from power, club, form, and Elo coverage"
Egypt,64.12,61.65,60.67,64.65,0.1609,"partial-pooling proxy from power, club, form, and Elo coverage"
Congo DR,63.33,60.27,65.64,61.27,0.1617,"partial-pooling proxy from power, club, form, and Elo coverage"
Uzbekistan,63.12,54.27,60.45,66.03,0.1679,"partial-pooling proxy from power, club, form, and Elo coverage"
Panama,62.81,44.73,66.21,67.25,0.2076,"partial-pooling proxy from power, club, form, and Elo coverage"
Tunisia,60.61,56.88,61.71,59.43,0.1668,"partial-pooling proxy from power, club, form, and Elo coverage"
New Zealand,58.28,57.42,62.69,54.37,0.1707,"partial-pooling proxy from power, club, form, and Elo coverage"
Jordan,57.86,54.27,45.76,63.42,0.1795,"partial-pooling proxy from power, club, form, and Elo coverage"
Haiti,57.31,52.92,65.24,53.30,0.1727,"partial-pooling proxy from power, club, form, and Elo coverage"
Saudi Arabia,56.90,62.73,49.57,55.44,0.1763,"partial-pooling proxy from power, club, form, and Elo coverage"
South Africa,56.18,59.62,59.94,50.46,0.1758,"partial-pooling proxy from power, club, form, and Elo coverage"
Iraq,54.87,50.69,48.69,57.82,0.1784,"partial-pooling proxy from power, club, form, and Elo coverage"
Ghana,53.66,66.42,43.36,50.38,0.1844,"partial-pooling proxy from power, club, form, and Elo coverage"
Cabo Verde,52.46,42.73,51.36,55.60,0.2158,"partial-pooling proxy from power, club, form, and Elo coverage"
Curaçao,50.40,48.50,59.55,44.56,0.1852,"partial-pooling proxy from power, club, form, and Elo coverage"
Qatar,44.75,62.73,25.28,43.56,0.2079,"partial-pooling proxy from power, club, form, and Elo coverage"
Bosnia And Herzegovina,44.52,56.08,0.00,58.51,0.1772,"partial-pooling proxy from power, club, form, and Elo coverage"
Scotland,32.18,67.73,61.00,0.00,0.1797,"partial-pooling proxy from power, club, form, and Elo coverage"
